               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.091104,            0.095353,             0.05743,                   0,                   0,                   0,                   0,            0.090263,            0.048179,             0.05681,          0.00076781,          0.00076781,            0.093068
                  39,            0.092726,            0.095028,            0.058632,                   0,                   0,                   0,                   0,            0.090389,            0.047997,            0.056708,          0.00078763,          0.00078763,            0.092888
                  40,            0.090751,            0.092933,            0.058097,           0.0006079,            0.066667,          0.00067393,          0.00015989,            0.090423,            0.047842,            0.056616,          0.00080745,          0.00080745,            0.092707
                  41,            0.090777,            0.085166,            0.058007,          0.00054422,            0.066667,          0.00085726,          0.00019792,            0.090399,            0.047708,            0.056524,          0.00082725,          0.00082725,            0.092527
                  42,              0.0954,            0.069584,            0.057965,           0.0005457,            0.066667,          0.00096005,          0.00013205,            0.090296,            0.047592,            0.056427,          0.00084704,          0.00084704,            0.092347
                  43,            0.087208,            0.090638,            0.056608,          0.00055325,            0.066667,          0.00062867,            0.000179,            0.090323,            0.047449,             0.05633,          0.00086683,          0.00086683,            0.092167
                  44,            0.087464,              0.1003,            0.056608,          0.00054422,            0.066667,          0.00056895,          0.00017639,            0.090521,            0.047257,            0.056226,           0.0008866,           0.0008866,            0.091987
                  45,            0.091131,            0.089483,             0.05632,          0.00055096,            0.066667,           0.0005522,          0.00028404,            0.090469,            0.047159,            0.056134,          0.00090637,          0.00090637,            0.091806
                  46,            0.089963,            0.081624,            0.056697,          0.00053548,            0.066667,          0.00053024,          5.3024e-05,            0.090448,            0.047042,            0.056044,          0.00092612,          0.00092612,            0.091626
                  47,            0.090831,            0.089373,            0.056696,          0.00055172,            0.066667,          0.00055653,          0.00016823,            0.090327,            0.046978,            0.055961,          0.00094587,          0.00094587,            0.091446
                  48,            0.095265,            0.066806,            0.056294,          0.00082873,                 0.1,           0.0012261,          0.00023978,            0.090235,            0.046888,            0.055869,           0.0009656,           0.0009656,            0.091266
                  49,            0.086604,            0.094219,            0.056792,          0.00055556,            0.066667,          0.00052132,           0.0001721,             0.09012,            0.046787,            0.055778,          0.00098532,          0.00098532,            0.091085
                  50,            0.088243,            0.084169,            0.057349,           0.0005472,            0.066667,          0.00045223,          0.00014267,            0.090026,            0.046713,            0.055681,            0.001005,            0.001005,            0.090905
                  51,             0.09505,            0.069611,            0.056494,          0.00055402,            0.066667,          0.00043715,          0.00014007,            0.089998,            0.046592,            0.055595,           0.0010247,           0.0010247,            0.090725
                  52,            0.087192,             0.10534,            0.056843,           0.0005487,            0.066667,          0.00059309,          0.00020157,            0.089984,             0.04651,            0.055504,           0.0010444,           0.0010444,            0.090544
                  53,            0.093856,            0.075338,            0.057869,          0.00056101,            0.066667,          0.00054908,          7.2034e-05,            0.090085,             0.04637,            0.055421,           0.0010641,           0.0010641,            0.090364
                  54,            0.089605,            0.085906,            0.056313,          0.00054348,            0.066667,          0.00046022,          0.00015207,            0.090078,            0.046291,            0.055331,           0.0010837,           0.0010837,            0.090184
                  55,            0.089271,            0.095649,            0.055641,          0.00080537,                 0.1,          0.00085479,          0.00022045,             0.09001,             0.04623,            0.055246,           0.0011034,           0.0011034,            0.090003
                  56,            0.090213,            0.073806,            0.056351,          0.00081967,                 0.1,           0.0013184,          0.00030828,            0.090024,            0.046119,            0.055157,            0.001123,            0.001123,            0.089823
                  57,            0.090391,            0.092739,            0.055061,          0.00081522,                 0.1,           0.0014881,          0.00037238,             0.08994,            0.046075,            0.055072,           0.0011426,           0.0011426,            0.089643
                  58,            0.085981,            0.098083,            0.055863,          0.00082531,                 0.1,            0.001898,          0.00043466,            0.089957,            0.045986,            0.054989,           0.0011623,           0.0011623,            0.089462
                  59,            0.088896,            0.087977,            0.055338,          0.00082192,                 0.1,           0.0011015,          0.00023627,            0.089874,            0.045954,            0.054904,           0.0011818,           0.0011818,            0.089282
                  60,            0.088562,              0.0872,            0.056437,          0.00080645,                 0.1,           0.0016335,          0.00030987,            0.089828,             0.04589,            0.054822,           0.0012014,           0.0012014,            0.089101
